target	skill	source
agents	video	~/.agents/skills/video
agents	hyperframes	~/.agents/skills/hyperframes
agents	product-launch-video	~/.agents/skills/product-launch-video
agents	general-video	~/.agents/skills/general-video
agents	motion-graphics	~/.agents/skills/motion-graphics
agents	media-use	~/.agents/skills/media-use
agents	hyperframes-core	~/.agents/skills/hyperframes-core
agents	hyperframes-creative	~/.agents/skills/hyperframes-creative
agents	hyperframes-animation	~/.agents/skills/hyperframes-animation
agents	hyperframes-keyframes	~/.agents/skills/hyperframes-keyframes
agents	hyperframes-audio	~/.agents/skills/hyperframes-audio
agents	hyperframes-cli	~/.agents/skills/hyperframes-cli
agents	hyperframes-registry	~/.agents/skills/hyperframes-registry
agents	social-content	~/.agents/skills/social-content
agents	viral-short-form	~/.agents/skills/viral-short-form
agents	viral-short-form-ideas	~/.agents/skills/viral-short-form-ideas
agents	viral-hooks	~/.agents/skills/viral-hooks
agents	viral-captions-and-ctas	~/.agents/skills/viral-captions-and-ctas
agents	viral-instagram-reels	~/.agents/skills/viral-instagram-reels
agents	viral-tiktok-content	~/.agents/skills/viral-tiktok-content
agents	viral-youtube-shorts	~/.agents/skills/viral-youtube-shorts
agents	ad-creative	~/.agents/skills/ad-creative
agents	review-animations	~/.agents/skills/review-animations
agents	website-to-hyperframes	~/.codex/plugins/cache/openai-curated-remote/hyperframes/0.1.2/skills/website-to-hyperframes
codex	watch	~/.codex/skills/watch
codex	playwright	~/.codex/skills/playwright
codex	playwright-interactive	~/.codex/skills/playwright-interactive
codex	charlies-content-workflow	~/.codex/skills/charlies-content-workflow
codex	tatirous-content-workflow	~/.codex/skills/tatirous-content-workflow
